,id,name,year,rating,certificate,duration,genre,votes,gross_income,directors_id,directors_name,stars_id,stars_name,description
18,tt10075788,the hunger games premiere,(2012 tv special),6.4,not certified,0 min,action,32,0,nm7098632,steve bonich,"nm0006969,nm2955013,nm1242688,nm0429363","elizabeth banks,liam hemsworth,josh hutcherson,toby jones","official video released by lionsgate showcasing highlights from the the hunger games european premiere, which took place on march 14, 2012, at london's o2. actors jennifer lawrence, josh ...                see full summary »"
19,tt1822533,fishing with john,(1991),7.7,not rated,0 min,"documentary, comedy, sport",60,0,nm0527099,john lurie,"nm0527099,nm0000454,nm0916261","john lurie,dennis hopper,robb webb",part 2 has john larie and dennis hopper on a fishing boat with unsavory fishermen searching for a giant squid weighing a ton from part 1.
20,tt8072174,memoirs of a stalker,(2100 - ),11.0,not certified,0 min,thriller,0,0,/name/nm1155287/,alastair gourlay,anonymous,nm0000000,"'just because you can't see someone, it doesn't mean they can't see you' is jack's motto. what if you could live in a house without the two occupants knowing that you're living there too? that's jack's irresistible dare - his memoir."
21,tt11128392,inte utan lust,(2000),11.0,not certified,28 min,"documentary, short, reality-tv",0,0,nm0920857,bengt wendin,"nm11059674,nm11059675,nm1372625,nm11059677","gertrude aigner,stefan arver,thomas böhm,per ertzgaard","a film about impotence (erectile dysfunction). impotence is a taboo area you don't like to talk about. still, it is by no means an uncommon problem. the ability to erect is fundamental to ...                see full summary »"
22,tt3387894,gongjooeui namja,(2011),11.0,not certified,67 min,"action, drama, history",0,0,anonymous,nm0000000,"nm4623624,nm3852138,nm3755484,nm1045584","moon chae-won,shi-hoo park,jong-ho song,soo-hyun hong","in 1453 prince su-yang kills kim jong-seo to eventually become the 7th king of the joseon dynasty. one year before the coup, kim jong-seo is the most powerful liege and the most trusted by ...                see full summary »"
23,tt13249804,"rich kids, skint holiday",(2019– ),11.0,not certified,45 min,reality-tv,0,0,"/name/nm5237056/,/name/nm3353432/","yiannis meleagros,jessica ransom",nm3353432,jessica ransom,"leo, the 18-year-old son of tycoons, goes on a caravanning holiday with the atfield family, who are struggling to make ends meet, and are shocked by his wealthy lifestyle."
24,tt0089679,the new kids,(1985),6.0,r,110 min,"crime, drama, horror",3386,"199,108",nm0192446,sean s. cunningham,"nm0630039,nm0521753,nm0000652,nm0679904","shannon presby,lori loughlin,james spader,john philbin","a brother and sister arrive in a small town to help their relatives run an amusement park, and they find the town is terrorized by a local street gang."
25,tt1401616,oneverse,(2100 - ),11.0,not certified,0 min,sci-fi,0,0,anonymous,nm0000000,anonymous,nm0000000,"james faulkner, a workaholic scientist, loses his wife in a car accident and uses his knowledge of quantum physics to travel to parallel universes to find the closest thing to his lost love...                see full summary »"
26,tt11826832,kioku sosa - shinjuku higashi-sho jiken fairu,(2019–2020),11.0,not certified,0 min,mystery,0,0,anonymous,nm0000000,"nm0410959,nm4759838,nm0443562,nm0457586","ken ishiguro,mone kamishiraishi,shunsuke kazama,kin'ya kitaôji","ichiro onizuka's retirement as a detective was just around the corner. while working on his final case before his retirement, ichiro was stabbed and he lost the use of his legs. he has used...                see full summary »"
27,tt0466744,danger models 2: escape clause,(2001 video),11.0,not certified,60 min,adventure,0,0,nm1864836,oak o'kork,"nm0214486,nm0760175,nm1962830","eve ellis,holly sampson,justine love","a beautiful detective and her lovely protégé go undercover to investigate a suspicious magician but, instead of getting the goods on the villain, are placed in one tight bondage after another."
28,tt1124188,outrageous fortune,(2005–2010),8.4,tv-ma,44 min,"comedy, crime, drama",15,0,nm0066582,mark beesley,"nm0539137,nm1102278,nm1918191,nm0695666","robyn malcolm,antony starr,siobhan marshall,antonia prebble",judd receives his police cheque of 80 grand. he is off to settle with des stewart only to find out that his bill was paid by cheryl. judd finds out about the loan from gary. he confronts ...                see full summary »
29,tt5042140,anxiété,(2013),11.0,not certified,3 min,"short, drama, fantasy",0,0,"/name/nm4313181/,/name/nm7597572/","johnny coffeen,blake miller",nm7597572,blake miller,a chocolate-milk-addicted writer stuck in an endless cycle gets a chance to experience life without anxiety.
30,tt7521990,golden job,(2018),5.6,tv-14,100 min,"action, adventure, crime",1308,"285,795",nm0157759,kar lok chin,"nm0155562,nm0150952,nm0874864,nm0157759","ekin cheng,jordan chan,michael tse,kar lok chin",a group of mercenaries come together to pull of an epic heist.
31,tt4027848,project: potemkin,(2010–2016),6.4,not certified,8 min,sci-fi,12,0,nm6232025,sara higgins mackenzie,"nm2881710,nm6232022,nm5657709,nm6175414","jeffrey green,bill mackenzie,renda carr,richard a. thornton","captain grigory and commander kesh, of the klingon battlecruiser kupok, beam down to confront angry klingon and human farmers on the farming world of galt about who is killing their crops."
32,tt2057337,wilbur,(2006– ),11.0,tv-y,0 min,"animation, family",0,0,anonymous,nm0000000,"nm2093732,nm0124257,nm0501306,nm2447474","taylor barber,ian busher,julie lemieux,emma pustil","dasha searches for a costume to wear to a party and learns that she can use her imagination to make one; ray orders a fancy ""ultra sphere"" that is supposed to be better than wilbur's plain ball."
33,tt8746054,the visor,(2017),11.0,not certified,2 min,"short, drama, war",0,0,/name/nm10001473/,ali azizollahi,anonymous,nm0000000,the moment a photographer faces a sniper in a war zone.
34,tt16256652,american history tellers,(2017– ),11.0,not certified,38 min,"family, history",0,0,anonymous,nm0000000,anonymous,nm0000000,"as the soviet and american forces were closing in on germany to end the war, von braun saw only one way out: surrender to the american forces and get to the states."
35,tt2662790,a town where you live,(2012– ),6.7,not certified,25 min,"animation, comedy, romance",262,0,anonymous,nm0000000,"nm2977461,nm2893431,nm5496407,nm3940196","saori hayami,yoshimasa hosoya,nana kouno,erina mano","haruto kirishima lived a calm life out in the countryside, away from the fast-paced life of the city. then yuzuki eba appeared in his life out of nowhere, having come from tokyo to briefly ...                see full summary »"
36,tt0651814,mr. & mrs. north,(1952–1954),5.5,not rated,26 min,"comedy, drama, mystery",24,0,nm0614634,ralph murphy,"nm0110159,nm0219396,nm0211402,nm0175788","barbara britton,richard denning,francis de sales,hans conried",pam is jealous of jerry's relationship with a beautiful hispanic novelist.
37,tt19388496,sex and horror with dicey grenor and chantell renee,(2019–2022),11.0,not certified,0 min,"horror, talk-show",0,0,anonymous,nm0000000,"nm11393953,nm9637836","dicey grenor,chantell renee","discussing ""bonding"" show on netflix, reading favorite literary horror scenes, and discussing sexy songs with horrifying lyrics. also talk about week's sex and horror news and events."
38,tt2833134,tikkabilla,(2002– ),11.0,not certified,29 min,"adventure, comedy, family",0,0,anonymous,nm0000000,anonymous,nm0000000,the windows show some real birds and tamba thinks it would be great to fly up into space.
39,tt1676131,material girl,(2010 video),6.8,not certified,5 min,"short, family, fantasy",5,0,nm3287996,jeremy r. keller,"nm3959401,nm3959300","hye rhin doo,ta'nika slater",tells the story of a girl who is too caught up in her own world to realize that ipods are sometimes not the most valuable thing to have in life.
40,tt0717182,tales of wells fargo,(1957–1962),7.1,tv-14,49 min,western,19,0,nm0364749,harry harris,"nm0731783,nm0218131,nm0160417,nm0287769","dale robertson,william demarest,virginia christine,dianne foster","an old flame of jim hardie's, now a famous concert singer, returns to california on a concert tour. the singer's father knows his daughter still carries a torch for hardie and wants her to ...                see full summary »"
41,tt15353186,world's end harem,(2021– ),7.7,tv-ma,0 min,"animation, drama, romance",48,0,nm2495096,yuu nobuta,"nm5434926,nm11557424,nm6216739,nm7740470","yuka adachi,satomi amano,yoshino aoyama,arisa date","as a messenger from uw's global headquarters arrives in japan, reito finds the secret behind the creation of the mk virus."
42,tt11127414,celebrity name game,(2019–2020),11.0,not certified,30 min,game-show,0,0,anonymous,nm0000000,"nm1489101,nm3300321,nm0172259,nm1175657","grant denyer,annie maynard,david collins,erika heynatz","based on the american game show of the same name, celebrity guests team up with a group of contestants and together they work against the clock to identify a variety of famous names and things."
43,tt0510289,ally mcbeal,(1997–2002),7.1,tv-14,60 min,"comedy, drama, fantasy",123,0,nm0779641,oz scott,"nm0001222,nm0314524,nm0004808,nm0005105","calista flockhart,greg germann,lisa nicole carson,jane krakowski","getting concerned that larry is never coming back, ally starts seeing his face everywhere. which is a problem since renee and jackson have just started dating and jackson is put off by ...                see full summary »"
44,tt17079130,the one: 30 second short,(2100 - ),11.0,not certified,1 min,"short, horror",0,0,/name/nm12913819/,james daniel may,anonymous,nm0000000,"girl enters darkness, is consumed by darkness and transforms into darkness manifest."
45,tt0982689,wait till your father gets home,(1972–1974),6.8,tv-y7,0 min,"animation, comedy",9,0,anonymous,nm0000000,"nm0098014,nm0314119,nm0122698,nm0918396","tom bosley,joan gerber,jack burns,lennie weinrib",alice is in love with a new boy. harry tries to undermine irma by finding out who the mystery man is.
46,tt10949114,"die superhändler - 4 räume, 1 deal",(2018– ),11.0,not certified,0 min,"game-show, reality-tv",0,0,anonymous,nm0000000,"nm9214198,nm2944338","evelyn burdecki,sükrü pehlivan",todays guests are (promi evelyn burdecki)/ferbedo tretauto/likörset lauscha.
