,id,name,year,rating,certificate,duration,genre,votes,gross_income,directors_id,directors_name,stars_id,stars_name,description
86,tt4944276,tough little things,(2015),11.0,not certified,3 min,"short, drama, family",0,0,/name/nm6357863/,nick perkins,anonymous,nm0000000,a brother and sister try to enjoy their time away from it all.
87,tt18394334,mundo cálico,(2008–2009),11.0,not certified,2 min,"animation, comedy",0,0,"/name/nm2766887/,/name/nm2766887/","niko,niko",nm2766887,niko,calico and video games
88,tt2042675,the fragment,(2011),11.0,not certified,4 min,"short, drama, fantasy",0,0,"nm4261003,nm4634537","eliza mcnitt,benjamin wachtel","nm4648384,nm4659254,nm4136291,nm4639149","audrey appleby,leslie bamann,aiden eyrick,natalia morillo",a young woman undergoes a controversial procedure to determine if her unborn child is the carrier of a pandemic virus.
89,tt1348879,tractor tom,(2002– ),11.0,not certified,11 min,"animation, short, comedy",0,0,anonymous,nm0000000,anonymous,nm0000000,"a sick fi makes the grave mistake of putting matt in charge, and he starts by forgetting to feed the animals."
90,tt9734986,you,(2018– ),8.7,tv-14,48 min,"crime, drama, romance","3,765",0,nm0423158,harry jierjian,"nm0046112,nm6442992,nm4911194,nm8510480","penn badgley,victoria pedretti,jenna ortega,james scully","joe wants to get away, but forty insists they finish their script. as pressure mounts, forty's excessive coping devices make for a harrowing night."
91,tt4592056,factice,(2015),11.0,not certified,14 min,"short, thriller",0,0,nm7251259,erwan alépée,"nm2820047,nm7251260,nm4869684,nm6401096","jeanne-lore aglossi,nicolas bresteau,claire hoffmann,arthur jalta",a man and his three friends are plotting a crime. but who is the real victim here?
92,tt10379296,retribution room,(2100 - ),11.0,not certified,0 min,horror,0,0,nm8333760,blanca samperio,"nm8333760,nm9165104,nm10337775,nm4288649","blanca samperio,cougar macdowall,miles quincy martin,richard during",three friends wake up trapped in a basement. an unidentified voice informs them that he has each of their spouses captive. he tells them they have 24 hours to decide who lives or dies by ...                see full summary »
93,tt7273136,the life and death of a mr. goulet,(2008),11.0,not certified,0 min,"animation, short, comedy",0,0,/name/nm9163835/,john tennek,anonymous,nm0000000,"told via a series of thought to be long lost psychokinetic defibrillations, originating from nearly seven hundred millenia ago in a realm known simply as ""the zone"", at the very beginnings of time and space."
94,tt0841922,los bastardos,(2008),6.2,not rated,90 min,"crime, drama, thriller","1,365",0,nm1661334,amat escalante,"nm3030721,nm3031375,nm0953778,nm0425539","jesus moises rodriguez,rubén sosa,nina zavarin,kenny johnston","a 24 hour period in the lives of fausto and jesus, two undocumented mexican day-laborers in l.a. each day another task, each day the same pressure to find money. they go about their daily ...                see full summary »"
95,tt6904474,remnant 13,(2018– ),11.0,not certified,15 min,horror,0,0,anonymous,nm0000000,"nm8814291,nm5689702,nm7770551,nm2316393","bethany davenport,kathlene ashcraft,karla dansereau,silvio wolf busch","officer kevin derringer visits his sister elizabeth downing, and learns of the turmoil within the household. a few months later, he receives a panicked call from elizabeth and rushes to her...                see full summary »"
96,tt0483177,naranjo en flor,(2008),5.2,not certified,93 min,"drama, romance, thriller",64,"2,398,000",nm0328008,antonio gonzález-vigil,"nm0087249,nm2951361,nm2057524,nm0171636","eduardo blanco,verónica bonter,daniela carrara,fausto collado","the sudden death of his wife plunges a terminally ill man into profound grief. realizing how little he knew her and how little he showed her his affection, he devotes his last weeks to fulfilling her long-cherished dreams."
97,tt6852836,madonna feat. massive attack: i want you,(1995 music video),7.4,not certified,7 min,music,98,0,"/name/nm0780942/,/name/nm0000187/","earle sebastian,madonna",nm0000187,madonna,madonna is waiting for a phone call she knows she shouldn't take in the music video for a marvin gaye tribute from her ballads compilation album 'something to remember'.
98,tt9354432,alberto and the concrete jungle,(2020),8.5,not certified,99 min,"adventure, comedy, drama",37,0,nm2782356,chris shimojima,"nm4254593,nm8424738,nm4061325,nm0918814","alejandro santoni,julie voshell,rami margron,eileen weisinger","alberto buenaventura is that increasingly common breed - a digital nomad living on the road, unattached. but not much else is common about him. he's not only a successful photojournalist; ...                see full summary »"
99,tt15891200,party like a rockstar podcast,(2021– ),11.0,not certified,0 min,biography,0,0,nm0588626,joel miller,"nm13102514,nm0588626,nm13102513","tj lyle,joel miller,logan tolbert","the georgia thunderbolts are an american rock band from rome, georgia. formed in 2015, the band released their debut album can we get a witness through mascot records in 2021. logan tolbert...                see full summary »"
